BaryCenterX (?m) ,BaryCenterY (?m) ,BaryCenterZ (?m) ,Breadth3d (?m) ,Length3d (?m) ,Width3d (?m) ,Thickness3d (?m) ,a,b,c,EqDiameter,Area3d (?m^2) ,Volume3d,OrientationPhi,OrientationTheta,Shape_VA3d,Sphericity,index
26113.9,12888.3,4036.31,255.74,328.947,261.68,253.823,328.947,261.68,253.823,235.247,173224,6.82E+06,31.2542,-138.824,0.989076,1.00367,129
14728,7031.12,4087.78,285.489,332.198,205.066,169.755,332.198,205.066,169.755,230.345,169933,6.40E+06,8.77349,14.0147,1.05954,0.980908,130
20648.4,8005.48,4015.69,148.773,247.258,123.805,122.48,247.258,123.805,122.48,147.181,64354.3,1.67E+06,71.5651,180,0.845599,1.0575,131
49565.1,9556.24,4019.39,136.441,179.306,113.459,125.017,179.306,125.017,113.459,122.977,41245.4,973811,35.2644,135,0.654224,1.15193,132
27099.5,10155.8,4059.41,234.948,275.415,241.573,213.14,275.415,241.573,213.14,204.1,127028,4.45E+06,40.0702,157.32,0.914526,1.03023,133
5777.42,10341.8,4089.43,327.501,471.9,281.115,262.183,471.9,281.115,262.183,274.678,261820,1.09E+07,52.3129,172.491,1.34776,0.905306,134
37787.2,12188.2,4125.94,305.089,448.542,304.576,258.267,448.542,304.576,258.267,292.304,279646,1.31E+07,44.7807,168.837,1.13074,0.95987,135
34369.2,23443,4074.42,220.654,300.609,212.253,177.677,300.609,212.253,177.677,199.756,123598,4.17E+06,42.9164,-22.0539,0.958484,1.01423,136
37185.3,24725.4,4107.23,263.919,376.075,245.485,227.322,376.075,245.485,227.322,251.677,198801,8.35E+06,24.7469,-19.0412,0.997125,1.00096,137
48807.1,7227.75,4574.28,571.978,1260.34,434.779,389.797,1260.34,434.779,389.797,500.188,1.21E+06,6.55E+07,50.8148,-49.1881,3.61854,0.651362,138
30549.7,8854.34,4099.51,177.834,242.722,165.015,168.009,242.722,168.009,165.015,165.301,79838.5,2.36E+06,45,90,0.804516,1.0752,139
44716.7,9870.83,4093.42,96.2725,193.404,81.1153,68.4192,193.404,81.1153,68.4192,102.05,28193.9,556463,31.7175,-90,0.639943,1.16043,140
34230.4,10993.3,4106.02,244.416,285.629,230.894,236.82,285.629,236.82,230.894,214.22,141626,5.15E+06,63.3252,-42.3406,0.948034,1.01795,141
32954.6,11333,4151.07,288.337,360.471,294.351,279.05,360.471,294.351,279.05,266.203,219236,9.88E+06,25.6506,-58.8262,0.955021,1.01546,142
34794,7141.89,4119.32,123.2,207,117.317,106.09,207,117.317,106.09,116.818,39357,834695,57.6885,-108.435,0.773674,1.0893,143
20404,7529,4221.08,289.206,349.548,274.722,257.824,349.548,274.722,257.824,263.679,215524,9.60E+06,74.2714,108.728,0.960687,1.01346,144
45620.1,9193.85,4212.82,209.629,312.063,135.001,135.535,312.063,135.535,135.001,182.825,106801,3.20E+06,40.0128,-87.3198,1.05213,0.983205,145
37186.2,22902.4,4110.69,92.8369,150.305,80.6465,58.8171,150.305,80.6465,58.8171,92.7185,21670.3,417347,45,0,0.516588,1.24629,146
16642.1,7926.88,4372.83,432.086,644.531,375.621,339.923,644.531,375.621,339.923,397.84,557451,3.30E+07,42.0578,-157.029,1.40902,0.891992,147
42434.4,8680.08,4303.89,355.389,441.667,329.915,271.148,441.667,329.915,271.148,324.83,332185,1.79E+07,29.5422,-115.989,1.00636,0.997888,148
46606.4,9793.11,4209.24,201.476,274.09,188.106,160.439,274.09,188.106,160.439,165.301,86910.7,2.36E+06,31.7968,-77.1393,1.03781,0.987707,149
29549.7,11214.1,4514.56,822.232,1261.8,771.827,730.033,1261.8,771.827,730.033,745.273,2.27E+06,2.17E+08,77.2676,-119.537,2.20857,0.767885,150
24767.8,12228.4,4171.14,56.9266,108.286,80.1133,52.6118,108.286,80.1133,52.6118,80.9971,15151.1,278232,0,90,0.397256,1.36033,151
34203.1,22358.3,4216.98,249.697,336.274,226.918,242.631,336.274,242.631,226.918,239.954,174987,7.23E+06,70.922,-161.68,0.905333,1.03371,152
13443.7,7011.57,4295.97,233.196,283.654,154.701,126.534,283.654,154.701,126.534,180.136,104810,3.06E+06,11.0508,6.21826,1.08681,0.972632,153
10838.8,8740.32,4260.64,219.02,266.419,186.013,165.514,266.419,186.013,165.514,180.136,100234,3.06E+06,73.3287,123.913,0.950579,1.01704,154
20962.5,9122.42,4320.47,314.591,404.091,277.405,269.82,404.091,277.405,269.82,287.027,260472,1.24E+07,48.172,172.459,1.01929,0.993651,155
22397.7,9128.83,4433.76,239.405,926.429,262.468,222.196,926.429,262.468,222.196,333.015,466289,1.93E+07,52.4261,-130.597,2.39734,0.747177,156
28801.6,11797.6,4292.16,288.943,341.225,303.865,269.691,341.225,303.865,269.691,268.679,220091,1.02E+07,54.2854,-19.5795,0.914019,1.03042,157
27442,13724.8,4398.45,499.541,583.532,498.839,482.376,583.532,498.839,482.376,469.291,700489,5.41E+07,68.8946,-163.12,1.03777,0.987719,158
36481.3,21386.8,4232.67,177.224,268.388,165.314,167.994,268.388,167.994,165.314,161.994,79384.6,2.23E+06,61.0941,-51.1973,0.89282,1.03851,159
51241.1,7217.02,4360.27,268.495,501.31,209.323,203.213,501.31,209.323,203.213,251.677,231432,8.35E+06,62.7821,82.4307,1.57312,0.859829,160
49634.8,7546.82,4496.41,590.997,667.217,491.299,440.808,667.217,491.299,440.808,518.945,878485,7.32E+07,65.0735,-112.783,1.11951,0.96307,161
5280.3,9050.71,4505.67,542.494,731.836,479.947,453.531,731.836,479.947,453.531,503.004,839508,6.66E+07,48.6979,67.7132,1.17814,0.94682,162
29830.2,9807.64,4389.3,281.993,515.78,288.881,271.597,515.78,288.881,271.597,305.202,316838,1.49E+07,50.4971,-33.0924,1.26922,0.923607,163
33395,9300.86,4300.68,124.704,151.404,61.9024,61.7157,151.404,61.9024,61.7157,102.05,27200.1,556463,90,0,0.574627,1.20283,164
43166.5,10718.6,4378.4,232.307,304.79,238.97,208.409,304.79,238.97,208.409,212.272,139086,5.01E+06,42.2662,-87.5853,0.948511,1.01778,165
32480.5,11679.2,4480.74,181.252,599.371,206.226,165.254,599.371,206.226,165.254,219.86,199823,5.56E+06,47.9096,-128.029,2.27831,0.759969,166
43483.5,13834.7,4342.13,122.92,167.997,126.95,94.1961,167.997,126.95,94.1961,109.93,33585.2,695579,90,90,0.692309,1.1304,167
